Date;counter;BTC;BTC1;ETH;ETH1;BNB;BNB1;XRP;XRP1;SOL;SOL1;LUNA;LUNA1;DOT;DOT1;SPY;SPY1;IPO;IPO1;GLD;GLD1;DBTC;DETH;DBNB;DXRP;DSOL;DLUNA;DDOT;DSPY;DIPO;DGLD
2020-05-18;594;9726.58;0.641167824;214.53;0.186786588;16.64;0.91128149;0.21;0.085365854;0.65;0.833333333;0.19;0.147286822;0;0;295;1.076956776;34.83;1.225545391;162.69;1.298300215;0.042706851;0.096626789;0.055977534;0.031496498;0.165998514;0.052402554;0;0.030459693;0.029559561;-0.00756415
2020-05-19;595;9729.04;0.641329985;213.45;0.185846256;17.15;0.939211391;0.2;0.081300813;0.62;0.794871795;0.19;0.147286822;0;0;291.97;1.065895152;34.95;1.229767769;164.26;1.310829144;0.000253213;-0.005006147;0.03116072;-0.005595196;-0.043231648;-0.035709117;0;-0.010271183;0.003445277;0.009650212
2020-05-20;596;9522.98;0.627746686;210.1;0.182929484;16.89;0.924972618;0.2;0.081300813;0.58;0.743589744;0.19;0.147286822;0;0;296.93;1.084002629;35.57;1.251583392;164.65;1.313941425;-0.021179549;-0.015714933;-0.015543179;-0.01137589;-0.072540171;-0.000160797;0;0.016988019;0.017739599;0.002374279
2020-05-21;597;9081.76;0.598661841;199.88;0.174031153;16.12;0.882803943;0.2;0.081300813;0.61;0.782051282;0.18;0.139534884;0;0;294.88;1.076518692;35.46;1.247712878;162.25;1.294788923;-0.0463321;-0.048611582;-0.045336503;-0.030727739;0.051383392;-0.03814711;0;-0.006903944;-0.003092522;-0.014576338
2020-05-22;598;9182.58;0.605307809;207.17;0.180378397;16.64;0.91128149;0.2;0.081300813;0.64;0.820512821;0.18;0.139534884;0;0;295.44;1.078563084;36.07;1.269176636;163.21;1.302449924;0.011100867;0.036449127;0.032080373;0.024725204;0.04920227;0.010243834;0;0.001899067;0.01720251;0.005916838
2020-05-26;599;8835.05;0.582398929;201.9;0.175789923;16.21;0.887732749;0.19;0.077235772;0.57;0.730769231;0.2;0.15503876;0;0;299.08;1.091851636;35.54;1.250527797;160.89;1.283935839;-0.037846065;-0.025423066;-0.02566445;-0.031785488;-0.102630405;0.082956809;0;0.012320556;-0.014693624;-0.014214864
2020-05-27;600;9181.02;0.605204976;208.86;0.181849843;16.49;0.903066813;0.2;0.081300813;0.59;0.756410256;0.2;0.15503876;0;0;303.53;1.108097255;35.36;1.244194229;161.18;1.2862501;0.039158209;0.034477668;0.017316033;0.020012888;0.030835137;-0.002037697;0;0.014879003;-0.005064716;0.001802436
2020-05-28;601;9525.75;0.627929282;219.84;0.191409889;17.06;0.934282585;0.2;0.081300813;0.58;0.743589744;0.2;0.15503876;0;0;302.97;1.106052862;35.13;1.236101337;161.72;1.290559413;0.037548496;0.052555825;0.034320394;0.013838277;-0.02678579;0.007253701;0;-0.001844951;-0.006504525;0.003350341
2020-05-29;602;9439.12;0.622218707;220.68;0.192141259;17.04;0.933187295;0.2;0.081300813;0.58;0.743589744;0.2;0.15503876;0;0;304.32;1.110981308;36.73;1.292399719;162.91;1.300055861;-0.009093976;0.003796849;-0.001038141;-0.011201675;0.007406699;0.007307889;0;0.004455907;0.045545088;0.007358416
2020-06-01;603;10167.27;0.670217731;246.99;0.215048802;17.91;0.980832421;0.21;0.085365854;0.58;0.743589744;0.2;0.15503876;0;0;305.55;1.115471671;37.48;1.318789585;163.66;1.306041018;0.077141113;0.119255104;0.051245802;0.060000605;-0.003313687;0.014197813;0;0.004041736;0.020419276;0.004603769
2020-06-02;604;9529.8;0.628196254;237.22;0.206542276;17.24;0.944140197;0.2;0.081300813;0.56;0.717948718;0.2;0.15503876;0;0;308.08;1.124707944;37.9;1.33356791;162.6;1.297581997;-0.062697748;-0.039566927;-0.037713658;-0.035600645;-0.022209716;-0.012808493;0;0.008280148;0.01120603;-0.00647683
2020-06-03;605;9656.72;0.636562712;244.18;0.212602196;17.55;0.961117196;0.2;0.081300813;0.59;0.756410256;0.2;0.15503876;0;0;312.18;1.139675818;38.58;1.357494722;159.6;1.273641369;0.013317595;0.029341092;0.017755937;0.004433726;0.038875872;0.017909278;0;0.013308252;0.017941952;-0.018450184
2020-06-04;606;9800.64;0.646049795;244.43;0.212819865;17.57;0.962212486;0.2;0.081300813;0.59;0.756410256;0.22;0.170542636;0;0;311.36;1.136682243;37.69;1.326178747;161.28;1.287048121;0.014903505;0.001011842;0.001166687;0.006476385;0.001155772;0.071329486;0;-0.002626715;-0.023069024;0.010526272
2020-06-05;607;9665.53;0.63714346;241.22;0.210024988;17.69;0.968784228;0.2;0.081300813;0.66;0.846153846;0.21;0.162790698;0;0;319.34;1.165814836;37.84;1.331456721;158.01;1.260952837;-0.013785177;-0.013109906;0.006997204;-0.004341845;0.125755365;-0.015897445;0;0.025629533;0.003979862;-0.020275323
2020-06-08;608;9771.49;0.644128252;246.31;0.21445674;17.39;0.952354874;0.2;0.081300813;0.67;0.858974359;0.22;0.170542636;0;0;323.2;1.179906542;38.68;1.361013371;159.72;1.274598994;0.010962257;0.021092277;-0.016719972;-0.00157282;0.010826508;0.023842747;0;0.012087481;0.022198732;0.010822138
2020-06-09;609;9795.7;0.645724155;244.91;0.213237791;17.44;0.9550931;0.2;0.081300813;0.66;0.846153846;0.22;0.170542636;0;0;320.79;1.171108353;38.38;1.350457424;161.26;1.286888516;0.002477712;-0.005677616;0.002434711;-0.008627332;-0.0154284;0.018430609;0;-0.007456692;-0.00775592;0.009641836
2020-06-10;610;9870.09;0.65062788;247.44;0.215440607;17.41;0.953450164;0.2;0.081300813;0.64;0.820512821;0.23;0.178294574;0;0;319;1.164573598;38.55;1.356439127;163.57;1.305322799;0.007594611;0.010344526;-0.001428704;0.004578913;-0.019961945;0.020634251;0;-0.005580002;0.004429338;0.014324768
2020-06-11;611;9321.78;0.614483754;231.7;0.201736132;16.31;0.8932092;0.19;0.077235772;0.57;0.730769231;0.2;0.15503876;0;0;300.61;1.097437208;36.52;1.285010556;162.39;1.295906153;-0.055553011;-0.063619319;-0.063268895;-0.062866491;-0.110294061;-0.112771303;0;-0.05764895;-0.05265886;-0.007214085
2020-06-12;612;9480.84;0.624968853;237.49;0.206777359;16.67;0.912924425;0.19;0.077235772;0.59;0.756410256;0.21;0.162790698;0;0;304.21;1.110579731;37.4;1.315974666;162.62;1.297741601;0.017063531;0.024991266;0.022086923;0.019786518;0.035080228;0.048072918;0;0.01197567;0.02409644;0.001416319
2020-06-15;613;9450.7;0.62298205;229.93;0.200195032;16.38;0.897042716;0.19;0.077235772;0.57;0.730769231;0.21;0.162790698;0;0;307.05;1.120947722;38.93;1.369809993;162.33;1.29542734;-0.003179211;-0.031850599;-0.017057749;-0.004480698;-0.039116371;-0.027977818;0;0.009335647;0.040909035;-0.001783255
2020-06-16;614;9538.02;0.62873811;234.42;0.204104377;16.42;0.899233297;0.19;0.077235772;0.59;0.756410256;0.22;0.170542636;0;0;312.96;1.142523364;39.61;1.393736805;162.25;1.294788923;0.009239765;0.019515854;0.00226765;-0.009151931;0.026175919;0.054275603;0;0.01924769;0.017467275;-0.000492836
2020-06-17;615;9480.25;0.624929961;233.03;0.202894134;16.4;0.898138007;0.19;0.077235772;0.58;0.743589744;0.21;0.162790698;0;0;311.66;1.137777453;40.05;1.40921886;162.56;1.297262788;-0.006056761;-0.005920637;-0.001182259;0.0111653;-0.006854789;-0.01524127;0;-0.004153844;0.011108255;0.001910619
2020-06-18;616;9411.84;0.620420432;232.1;0.202084404;16.21;0.887732749;0.19;0.077235772;0.62;0.794871795;0.21;0.162790698;0;0;311.78;1.138215537;40.93;1.44018297;162.24;1.294709121;-0.007216479;-0.003978526;-0.011824509;-0.012851331;0.067738264;-0.008739603;0;0.000385019;0.02197256;-0.001968461
2020-06-19;617;9288.02;0.612258324;227.14;0.19776584;15.91;0.871303395;0.19;0.077235772;0.68;0.871794872;0.21;0.162790698;0;0;308.64;1.126752336;41.32;1.4539057;164.03;1.308993696;-0.013156009;-0.021382383;-0.018601495;-0.021821667;0.102061982;0.006271935;0;-0.010071153;0.009528463;0.011033
2020-06-22;618;9648.72;0.636035359;242.53;0.211165577;16.48;0.902519168;0.19;0.077235772;0.73;0.935897436;0.21;0.162790698;0;0;310.62;1.133980724;41.34;1.45460943;165.09;1.317452717;0.038834894;0.067777643;0.035720056;0.013287649;0.062127739;-0.01318016;0;0.006415176;0.000484027;0.006462214
2020-06-23;619;9629.66;0.63477894;244.14;0.212567369;16.42;0.899233297;0.19;0.077235772;0.71;0.91025641;0.21;0.162790698;0;0;312.05;1.139201227;41.72;1.467980296;166.48;1.328545208;-0.001975347;0.006633991;-0.003200005;-0.003127774;-0.02552253;-0.000976469;0;0.004603673;0.00919209;0.00841965
2020-06-24;620;9313.61;0.613945195;235.77;0.205279792;16.03;0.877875137;0.18;0.073170732;0.74;0.948717949;0.21;0.162790698;0;0;304.09;1.110141647;40.57;1.427515834;165.9;1.323916687;-0.032820256;-0.034282036;-0.024101531;-0.023362307;0.04051549;-0.016668653;0;-0.025508708;-0.02756474;-0.003483914
2020-06-25;621;9264.81;0.610728341;232.94;0.202815773;15.92;0.871851041;0.18;0.073170732;0.71;0.91025641;0.2;0.15503876;0;0;307.35;1.122042932;41.09;1.445812808;165.8;1.323118666;-0.005239308;-0.011994497;-0.006492205;-0.003809586;-0.032293343;-0.012863716;0;0.010720543;0.012817353;-0.000602719
2020-06-26;622;9162.92;0.604011839;229.67;0.199968656;15.75;0.862541073;0.18;0.073170732;0.74;0.948717949;0.2;0.15503876;0;0;300.05;1.095392815;40.1;1.410978184;166.54;1.32902402;-0.010998118;-0.014065342;-0.010895445;-0.004897314;0.039189898;0.000176829;0;-0.023751482;-0.024093502;0.004463148
2020-06-29;623;9190.85;0.605852961;228.19;0.198680052;15.51;0.84939759;0.18;0.073170732;0.85;1.08974359;0.21;0.162790698;0;0;304.46;1.111492407;39.76;1.399014778;166.63;1.329742239;0.003048868;-0.006414366;-0.015492319;-0.025795009;0.150186738;0.014094744;0;0.014697561;-0.008478803;0.000540483
